single_line_id,session_id,measurement_id,sample_id,roi_within_measurement,cag_path,cag_path_index,pulse_duration_fs,frequency_kHz,velocity_mm_s,pass_count,pulse_pitch_um,E_line_J_mm,E_line_J,power_W_or_proxy,power_source_note,pixel_size_um,z_step_um,line_scan_direction,line_scan_direction_note,measurement_orientation_theta_deg,orientation_confident,processing_date_or_batch,date_confidence,height_data_type,background_correction_status,plane_a,plane_b,plane_c,plane_rmse_um,sigma_ref_um,valid_mask_status,hatch_spacing_um,replicates,provenance_same_system,provenance_system_note,units_note,mapping_provenance,exclusion_note,geometry_qc,notes
1,zro2_120_line,1,1,single,氧化锆/120组直线.cag,1,500,10,10,1,1.0,0.5333,0.10666,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.4833998594078537,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0028842646332604,0.0159761067246519,12.365962573023182,0.2400891025742559,0.2262616230028661,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
2,zro2_120_line,2,2,single,氧化锆/120组直线.cag,2,500,20,15,2,0.75,0.7110666666666667,0.14221333333333333,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.5005102495663607,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.003185818990054,0.0178154817130719,17.79933945963336,0.2901956878861493,0.2762080970328962,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
3,zro2_120_line,3,3,single,氧化锆/120组直线.cag,3,500,10,15,2,1.5,0.7110666666666667,0.14221333333333333,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.5216460997557988,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0024915681573889,0.0207197446933973,16.499974476660356,0.2727885749791345,0.2616227159790874,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
4,zro2_120_line,4,4,single,氧化锆/120组直线.cag,4,223,5,15,5,3.0,1.7776666666666665,0.35553333333333337,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.6035854119961073,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0010246244503,0.0150609598309108,20.70857086776663,0.2784185576879192,0.2661918903670896,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
5,zro2_120_line,5,5,single,氧化锆/120组直线.cag,5,500,20,15,3,0.75,1.0666,0.21332,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.577902797329557,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0008743012924756,0.0183016932866051,19.76921867681055,0.2640087734879139,0.2386162091157116,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
6,zro2_120_line,6,6,single,氧化锆/120组直线.cag,6,1000,2,20,1,10.0,0.26665,0.05333,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.5259222931374268,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0012773089344502,0.0164156275587381,7.894089088108823,0.3233666766728191,0.2989100060726619,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
7,zro2_120_line,7,7,single,氧化锆/120组直线.cag,7,2000,40,10,4,0.25,2.1332,0.42664,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.5749350747876179,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0002947440091899,0.0186222866922687,20.164476171007305,0.2516295580828746,0.2375780462390831,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
8,zro2_120_line,8,8,single,氧化锆/120组直线.cag,8,2000,2,25,1,12.5,0.21332,0.042664,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.4501549405537446,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.001452656435596,0.0176184591517231,10.731504415016882,0.3299130659131939,0.3056980739430036,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
9,zro2_120_line,9,9,single,氧化锆/120组直线.cag,9,223,10,5,4,0.5,4.2664,0.85328,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.545581251270363,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0019948573603168,0.0229612565860977,21.70415956704218,0.2951594097005101,0.2684155521887877,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
10,zro2_120_line,10,10,single,氧化锆/120组直线.cag,10,2000,2,10,1,5.0,0.5333,0.10666,5.333,"measured post-objective 5.3333 W, no independent record (v2 §11); rectangle side carries the same value with PENDING_REGISTRATION",0.278657,0.0001,image-frame: line axis ~0 deg (u+ = machining direction); start/end sign unknown,no per-sample scan-direction provenance; start/end symbol unrecorded (细则 §0.8),-0.7328814671022599,True,20260528_single_line_batch,filename_only,absolute_height_raw_primary|cone_repaired_sensitivity,frozen_plane_from_view_manifest,-0.0054278902258844,0.0119902906719949,11.039051777316956,0.3136689893911897,0.2988627705440441,all_valid,,1,True,same laser & VK4/CAG measurement chain; identical measured post-objective power value on both datasets (no independent record),tau fs / f kHz / v mm/s / N count / length um,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),"氧化锆/72组单脉冲直线.cag excluded: no design table, no provenance (上位规划 §4 red line)",pending,
