failure_id,gate_condition,gate_result,pre_registered_threshold,observed_value,threshold_source,n_affected,n_total,affected_fraction,category,blocking_for_E03_calibration,code_or_numeric_defect,affects_B1_E04,affects_real_E06,requires_code_change,requires_rerun,rerun_justification,evidence_path
F1,full_recipe_coverage,FAIL,"limit==0 => 2160 recipe cases (180 recipes x 4 switches x 3 waists)",48 cases (4 recipes x 4 switches x 3 waists) = 2.22% coverage,"config_source.yaml limit semantics; gate code full_recipe_coverage = bool(limit == 0)",2112,2160,0.9777777778,IMPLEMENTATION_REMAINING,true,false,false,true,false,true,"scope completion: run --limit-recipes 0 for full MAIN180 recipe coverage",outputs/task_state_v1/20260908T044922Z_E03_SOLVER_REGISTRATION_3d172ad2_77c2c3c_d7e592/solver_registration_gate.json
F2,parameter_domain_finite_and_converged,FAIL,"all 3744 vectors accepted and finite; max_window_attempts <= 4; all 41154 descriptor checks error <= 0.01","3/3744 vectors rejected (ValueError: Window attempt registration budget exceeded); 3/41154 descriptor checks failed","config_source.yaml max_window_attempts_allowed=4 and tail_relative_tolerance=0.01; solver internal max_window_retries=16",3,3744,0.0008012821,BLOCKING_SOLVER_REGISTRATION,true,false,false,true,true,true,"domain/solver scope decision after recording observed attempts: restrict w0=0.874um defocus sub-domain or improve solver initial bound then re-register","outputs/task_state_v1/20260908T044922Z_E03_SOLVER_REGISTRATION_3d172ad2_77c2c3c_d7e592/parameter_domain_summary.csv"
F2a,parameter_domain_finite_and_converged (detail P10),FAIL,same as F2,"domain_P10_45_w0.874_r3 rejected; waist 0.874um; defocus switch; vector inside box","parameter_domain_summary.csv row",1,3744,0.0002670940,BLOCKING_SOLVER_REGISTRATION,true,false,false,true,true,true,same as F2,outputs/task_state_v1/20260908T044922Z_E03_SOLVER_REGISTRATION_3d172ad2_77c2c3c_d7e592/jobs/domain_P10_45_w0.874_r3.json
F2b,parameter_domain_finite_and_converged (detail P11),FAIL,same as F2,"domain_P11_77_w0.874_r3 rejected; waist 0.874um; defocus+incubation; vector inside box","parameter_domain_summary.csv row",1,3744,0.0002670940,BLOCKING_SOLVER_REGISTRATION,true,false,false,true,true,true,same as F2,outputs/task_state_v1/20260908T044922Z_E03_SOLVER_REGISTRATION_3d172ad2_77c2c3c_d7e592/jobs/domain_P11_77_w0.874_r3.json
F2c,parameter_domain_finite_and_converged (detail P11),FAIL,same as F2,"domain_P11_124_w0.874_r1 rejected; waist 0.874um; defocus+incubation; vector inside box","parameter_domain_summary.csv row",1,3744,0.0002670940,BLOCKING_SOLVER_REGISTRATION,true,false,false,true,true,true,same as F2,outputs/task_state_v1/20260908T044922Z_E03_SOLVER_REGISTRATION_3d172ad2_77c2c3c_d7e592/jobs/domain_P11_124_w0.874_r1.json
F3,grid_refinement_converged,FAIL,"all 960 descriptor checks (640->1280 mapped to 160; 1280-mapped vs direct ROI) error <= 0.01","2/960 failed: ilr_z2 at check=grid_finest; max error 0.0108875 (8.9% over threshold); all grid_to_direct_points pass","config_source.yaml tail_relative_tolerance=0.01 and grid_refinement.grids=[640,1280]",2,960,0.0020833333,BLOCKING_NUMERIC,true,false,false,true,true,true,"discretization convergence decision: add diagnostic grid level or flag ilr_z2 as not converged at 1%; tolerance must not be loosened",outputs/task_state_v1/20260908T044922Z_E03_SOLVER_REGISTRATION_3d172ad2_77c2c3c_d7e592/grid_refinement_checks.csv
N1,implausible_depth_cases (informational only),NOT_A_GATE,"implausible_depth_factor 10.0 x max observed MAIN180 depth 65.08um = 650.8416um; informational flag never a gate","304/3744 = 8.12% flagged; D_um_max = 134594.73 um","config_source.yaml implausible_depth_factor and gate field implausible_depth_threshold_um",304,3744,0.0811965812,NONBLOCKING_MODEL_INADEQUACY,false,false,false,false,false,false,none: retained as documented model-inadequacy observation,"outputs/task_state_v1/20260908T044922Z_E03_SOLVER_REGISTRATION_3d172ad2_77c2c3c_d7e592/parameter_domain_summary.csv"
P1,recipe_coverage_finite_and_converged,PASS,"528 gate descriptor checks error <= 0.01; max_window_attempts <= 4; no nonfinite; no solver failure","528/528 passed; 0 nonfinite; 0 solver failures; max_window_attempts observed = 2",config_source.yaml,0,528,0.0,NONE_PASS,false,false,false,false,false,false,none,"outputs/task_state_v1/20260908T044922Z_E03_SOLVER_REGISTRATION_3d172ad2_77c2c3c_d7e592/recipe_coverage_checks.csv"
P2,out_of_bounds_rejected,PASS,40/40 out-of-box probes rejected by calibration entry point,40 probes rejected; 0 wrongly accepted,gate domain_enforcement,0,40,0.0,NONE_PASS,false,false,false,false,false,false,none,outputs/task_state_v1/20260908T044922Z_E03_SOLVER_REGISTRATION_3d172ad2_77c2c3c_d7e592/domain_enforcement.csv
P3,determinism_bitwise,PASS,4 determinism cases bitwise identical over 2 repeats,4/4 identical (sha256 of height array),gate determinism,0,4,0.0,NONE_PASS,false,false,false,false,false,false,none,outputs/task_state_v1/20260908T044922Z_E03_SOLVER_REGISTRATION_3d172ad2_77c2c3c_d7e592/determinism.csv
