dataset_index,anon_code,reviewer,blind_morphology_pattern,blind_artifact_suspected,blind_notes,unblind_artifact_suspected,artifact_reason,morphology_pattern,confidence,notes
191,AUDIT-01,GPT-5.6 Sol (visual audit),low-frequency waviness;anisotropic texture,uncertain,宽广、边界相连的低洼结构主导；>=64 um 长波分量最强，32–64 um 次之；未见可见 repair 区，但仅凭盲图不能排除 ROI/plane 来源。,uncertain,repair=0，未见 repair-driven feature；plane RMSE 约 0.47 um。主结构与 ROI 左上边界相连，因此仍保留 ROI/背景平面来源的不确定性。,low-frequency waviness;anisotropic texture,medium,揭盲后仍判断为长波主导的真实形貌候选；DCT >=64 um 能量占比约 0.90。被选为 morphology-isolation / process-near-morph-far 候选，建议保留并在原始 CAG/plane 上复核，不因边界接触直接删除。
182,AUDIT-02,GPT-5.6 Sol (visual audit),periodic stripe;anisotropic texture,no,稳定的近竖直周期条纹贯穿 A/B，并在 8–32 um 波段清晰；仅见极小局部修复点，无法解释整体条纹。,no,repair 基本为 0，plane RMSE 约 0.37 um；条纹在多尺度分量中一致存在且不与修复位置绑定。,periodic stripe;anisotropic texture,high,形貌表型稳定：强方向性周期条纹。该样本同时进入 DCT 8–16 高 leverage / morphology-isolation / process-near-morph-far 候选，适合作为细尺度各向异性形貌代表。
153,AUDIT-03,GPT-5.6 Sol (visual audit),edge contamination;localized collapse;low-frequency waviness,uncertain,右侧出现占据大面积、边界较陡的深低区并接触 ROI 边缘；有少量 repaired px，但远小于主结构面积。,uncertain,repair 约 1.1%，plane RMSE 约 0.38 um；修复量不足以解释整个右侧大尺度低区，但边界相连形貌仍需原始 ROI/plane 复核。,edge contamination;localized collapse;low-frequency waviness,medium,LOCO total 位于前列（约 rank 5），且 >=64 um 分量占主导。当前更像真实的大尺度极端形貌叠加少量修复，而非纯 repair artifact；保持 uncertain。
65,AUDIT-04,GPT-5.6 Sol (visual audit),edge contamination;localized collapse;low-frequency waviness;anisotropic texture,uncertain,左侧出现近竖直的高平台/阶跃，中央 profile 有数十微米量级突变；repair mask 只有零星点，视觉上高度可疑但不能盲判来源。,uncertain,repair 约 0.19%，plane RMSE 约 0.24 um，均不足以解释强阶跃；但结构从 ROI 左边界进入，仍可能是边界/ROI 侵入。,edge contamination;localized collapse;low-frequency waviness;anisotropic texture,medium,这是 global total LOCO rank 1（sample 65）的高杠杆表面，Sq 约 12.6 um。诊断不支持“修复造成的异常”，因此不能删除；应优先回看原始 CAG/注册框，判断是物理未去除区域还是 ROI 边界侵入。
110,AUDIT-05,GPT-5.6 Sol (visual audit),large pit;low-frequency waviness,no,顶部中央存在清晰孤立大凹坑，16–64 um 波段呈环状响应；G 全 valid。,no,repair=0，plane RMSE 约 0.22 um；凹坑在原始/残差及多尺度图中一致，不具 repair-driven 特征。,large pit;low-frequency waviness,high,真实 isolated-pit 形貌候选；global LOCO 并不高，说明“显眼局部坑”本身不等价于全局 PCA 高杠杆。
19,AUDIT-06,GPT-5.6 Sol (visual audit),edge contamination;localized collapse;multi-lobe morphology;low-frequency waviness,uncertain,右下边界出现大尺度高差区域，32–64 和 >=64 um 分量强；repair mask 在该区域附近有若干簇。,uncertain,repair 约 1.9%，plane RMSE 约 0.31 um；修复与部分极端区域空间接近，但主结构远大于 repaired px，不能判为纯修复伪影。,edge contamination;localized collapse;multi-lobe morphology;low-frequency waviness,medium,global LOCO 约 rank 4，Sq 约 9.1 um。高杠杆与大尺度强形貌一致，但 repair 占比不为零；建议在 Phase 2B 做含/不含该类 uncertain 样本的 sensitivity，而不是直接删除。
66,AUDIT-07,GPT-5.6 Sol (visual audit),large pit;low-frequency waviness,no,中央偏右存在细长大凹坑，长波背景同时存在；仅有极少 repaired px，位置/面积不足以解释凹坑。,no,repair 约 0.12%，plane RMSE 约 0.20 um；大凹坑与修复无明显空间对应。,large pit;low-frequency waviness,high,保留为真实 large-pit 形貌代表。其 global LOCO 不高，进一步说明 leverage 不只是“是否有坑”。
37,AUDIT-08,GPT-5.6 Sol (visual audit),large-area dropout;repair-driven feature;localized collapse,yes,中央偏上出现巨大突起/缺失样结构，G 中有成片 repaired px 与其空间高度重合；属于盲评中最明显的修复相关候选之一。,yes,repair 约 2.7%，且 repaired 区域成片并与主极端结构重合；global LOCO 约 rank 2。该表面的高杠杆至少部分可能由 dropout/repair 处理放大。,large-area dropout;repair-driven feature;localized collapse,high,应标为 artifact-sensitive 高杠杆样本，而不是自动删除。正式形貌结论需同时报告 raw/repaired 与 exclude-flagged sensitivity。
22,AUDIT-09,GPT-5.6 Sol (visual audit),edge contamination;low-frequency waviness,uncertain,左边界出现强高差区域，长波分量显著；少量 repaired px 位于边缘附近。,uncertain,repair 约 0.46%，plane RMSE 约 0.22 um，不能解释整体大尺度边界结构；但结构直接从 ROI 边缘进入。,edge contamination;low-frequency waviness,medium,global LOCO 约 rank 8、Sq 约 6.5 um。当前视为真实极端形貌与潜在边界侵入二者未决，保留到原始 CAG/ROI 复核。
129,AUDIT-10,GPT-5.6 Sol (visual audit),anisotropic texture;low-frequency waviness,no,整体振幅较低，主要为上下方向缓慢变化与局部细小凹点；无大面积 repair。,no,repair 近 0，plane RMSE 约 0.33 um；无明显修复/边界异常。,anisotropic texture;low-frequency waviness,high,pass-supplement 样本；形貌本身可审计为非 artifact，但任何 N=6 演化解释仍受 session-pass 完全混杂限制。
