single_line_id,qa_label,annotator,timestamp_utc,comment
1,uncertain,GPT,2026-09-04T05:37:17Z,主槽连续，但稳定区深度呈明显U形趋势，宽度分布有尾部离群。
2,uncertain,GPT,2026-09-04T05:37:17Z,主槽可辨，沿线深度起伏大，宽度分布较散。
3,uncertain,GPT,2026-09-04T05:37:17Z,主槽连续，但深度随线位系统变化，宽度分布偏散。
4,uncertain,GPT,2026-09-04T05:37:17Z,主槽清晰，沿线深度呈明显U形端部效应，宽度较分散。
5,uncertain,GPT,2026-09-04T05:37:17Z,主槽清晰但沿线深度强烈周期起伏，宽度分布散。
6,reject_geometry,GPT,2026-09-04T05:37:17Z,无可用截面；仅端部深结构突出，主段几何不足以可靠表征。
7,uncertain,GPT,2026-09-04T05:37:17Z,主槽清晰，但稳定段深度起伏大，宽度分布较散。
8,reject_geometry,GPT,2026-09-04T05:37:17Z,无可用截面；仅端部深结构突出，主段几何不足以可靠表征。
9,uncertain,GPT,2026-09-04T05:37:17Z,主槽连续，但稳定段深度有多处尖锐波动，宽度有长尾。
10,reject_geometry,GPT,2026-09-04T05:37:17Z,无可用截面；仅端部深结构突出，主段几何不足以可靠表征。
11,uncertain,GPT,2026-09-04T05:37:17Z,主槽清晰，但沿线深度有多处剧烈下陷，宽度分布较散。
12,usable,GPT,2026-09-04T05:37:17Z,主槽连续，中央稳定段深度基本平稳，宽度分布集中，无明显伪影。
13,uncertain,GPT,2026-09-04T05:37:17Z,中部有局部竖向异常/缺口，且沿线深度存在趋势。
14,uncertain,GPT,2026-09-04T05:37:17Z,沿线深度显著U形变化，宽度分布较宽。
15,reject_geometry,GPT,2026-09-04T05:37:17Z,无可用截面，图中端部/局部亮结构占主导，稳定主段未建立。
16,uncertain,GPT,2026-09-04T05:37:17Z,沿线深度高频起伏明显，宽度分布较宽。
17,uncertain,GPT,2026-09-04T05:37:17Z,稳定区较短且深度波动明显，宽度分布散。
18,uncertain,GPT,2026-09-04T05:37:17Z,中段深度呈明显U形，局部段差异大，宽度分布有双峰倾向。
19,uncertain,GPT,2026-09-04T05:37:17Z,沿线深度强烈起伏，宽度分布较散。
20,uncertain,GPT,2026-09-04T05:37:17Z,可见长度偏短，端部异常较强；主段可辨但代表性有限。
